Name,Phase,Drug Type,Passes Rule of Five,Chirality,Smiles,Selfies
PENTOSALEN,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CC(C)=CCOc1c2occc2cc2ccc(=O)oc12,[C][C][Branch1][C][C][=C][C][O][C][=C][O][C][=C][C][Ring1][Branch1][=C][C][C][=C][C][=Branch1][C][=O][O][C][Ring1][=C][=Ring1][#Branch1]
PIRAGLIATIN,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CS(=O)(=O)c1ccc([C@@H](C[C@H]2CCC(=O)C2)C(=O)Nc2cnccn2)cc1Cl,[C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][N][C@@H1][Branch1][N][C][C@H1][C][C][C][=Branch1][C][=O][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][=C][N][=C][C][=N][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch1][Cl]
ATIPAMEZOLE,1,1:Synthetic Small Molecule,1,Achiral Molecule,CCC1(c2c[nH]cn2)Cc2ccccc2C1,[C][C][C][Branch1][Branch2][C][=C][NH1][C][=N][Ring1][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=C]
DOXYCYCLINE ANHYDROUS,4,1:Synthetic Small Molecule,0,Single Stereoisomer,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,[C][C@H1][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][C][=Branch1][C][=O][C][=C][Branch1][C][O][C@][Branch1][C][O][C][=Branch1][C][=O][C][Branch1][=Branch1][C][Branch1][C][N][=O][=C][Branch1][C][O][C@@H1][Branch1][=Branch1][N][Branch1][C][C][C][C@@H1][Ring1][#C][C@@H1][Branch1][C][O][C@@H1][Ring2][Ring1][Branch1][Ring2][Ring1][#C]
VERDINEXOR,1,1:Synthetic Small Molecule,1,Achiral Molecule,O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1ccccn1,[O][=C][Branch2][Ring2][#Branch2][/C][=C][\N][C][=N][C][Branch2][Ring1][=N][C][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=C][=N][Ring2][Ring1][Ring1][N][N][C][=C][C][=C][C][=N][Ring1][=Branch1]
LAURYL ISOQUINOLINIUM,-1,1:Synthetic Small Molecule,0,Achiral Molecule,CCCCCCCCCCCC[n+]1ccc2ccccc2c1,[C][C][C][C][C][C][C][C][C][C][C][C][N+1][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]
HALOPROGESTERONE,-1,1:Synthetic Small Molecule,0,Single Stereoisomer,CC(=O)[C@@]1(Br)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,[C][C][=Branch1][C][=O][C@@][Branch1][C][Br][C][C][C@H1][C@@H1][C][C@H1][Branch1][C][F][C][=C][C][=Branch1][C][=O][C][C][C@][Ring1][#Branch1][Branch1][C][C][C@H1][Ring1][=N][C][C][C@@][Ring1][P][Ring2][Ring1][Branch1][C]
MANOZODIL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CNCC1CCc2sc(C)nc2C1,[C][N][C][C][C][C][C][S][C][Branch1][C][C][=N][C][=Ring1][=Branch1][C][Ring1][#Branch2]
AMARANTH,-1,1:Synthetic Small Molecule,0,Achiral Molecule,O=S(=O)(O)c1ccc2c(/N=N/c3ccc(S(=O)(=O)O)c4ccccc34)c(O)c(S(=O)(=O)O)cc2c1,[O][=S][=Branch1][C][=O][Branch1][C][O][C][=C][C][=C][C][Branch2][Ring1][O][/N][=N][/C][=C][C][=C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=C][Ring1][=Branch1][=C][Branch1][C][O][C][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][=C][C][Ring2][Ring1][O][=C][Ring2][Ring1][#C]
METAMFAZONE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1cc(N)c(=O)n(-c2ccccc2)n1,[C][C][C][=C][Branch1][C][N][C][=Branch1][C][=O][N][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=Ring1][=C]
FLUOROETHYLCHOLINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,C[N+](C)(C)CCOCCF,[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O][C][C][F]
EX-527,2,1:Synthetic Small Molecule,1,Unknown,NC(=O)C1CCCC2c3cc(Cl)ccc3NC12,[N][C][=Branch1][C][=O][C][C][C][C][C][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][N][C][Ring1][=C][Ring1][#Branch2]
TOLCICLATE,-1,1:Synthetic Small Molecule,0,Racemic Mixture,Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)C2CCC3C2)c1,[C][C][=C][C][=C][C][Branch2][Ring1][=N][N][Branch1][C][C][C][=Branch1][C][=S][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][C][Ring1][#Branch1][C][Ring1][Branch1][=C][Ring2][Ring1][=Branch1]
CLOVOXAMINE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,COCCCC/C(=N/OCCN)c1ccc(Cl)cc1,[C][O][C][C][C][C][/C][=Branch1][=Branch1][=N][/O][C][C][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1]
AMITEROL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CCC(C)NCC(O)c1ccc(N)cc1,[C][C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1]
FUMOXICILLIN,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,[C][C][Branch1][C][C][S][C@@H1][C@H1][Branch2][Ring1][=N][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch2][/N][=C][/C][=C][C][=C][O][Ring1][Branch1][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C][=Branch1][C][=O][N][Ring2][Ring1][#Branch1][C@H1][Ring2][Ring1][O][C][=Branch1][C][=O][O]
DISULERGINE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,CN1C[C@@H](NS(=O)(=O)N(C)C)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,[C][N][C][C@@H1][Branch1][=C][N][S][=Branch1][C][=O][=Branch1][C][=O][N][Branch1][C][C][C][C][C@@H1][C][=C][C][=C][C][NH1][C][=C][Branch1][=Branch1][C][Ring1][=Branch2][=Ring1][Branch1][C][C@H1][Ring1][N][Ring2][Ring1][#Branch1]
ANCREMONAM,-1,1:Synthetic Small Molecule,0,Single Stereoisomer,Nc1nc(/C(=N/OC2(C(=O)O)CC2)C(=O)N[C@@H]2C(=O)N(S(=O)(=O)O)[C@@H]2CN2CCOC2=O)cs1,[N][C][=N][C][Branch2][Branch1][Ring1][/C][=Branch1][#C][=N][/O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][C][C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][C][=Branch1][C][=O][N][Branch1][=Branch2][S][=Branch1][C][=O][=Branch1][C][=O][O][C@@H1][Ring1][=Branch2][C][N][C][C][O][C][Ring1][Branch1][=O][=C][S][Ring2][Ring1][P]
CYCLOMENOL,-1,1:Synthetic Small Molecule,1,Achiral Molecule,Cc1cc(C)c(C2CCCCC2)c(O)c1,[C][C][=C][C][Branch1][C][C][=C][Branch1][=Branch2][C][C][C][C][C][C][Ring1][=Branch1][C][Branch1][C][O][=C][Ring1][=C]
SUBATHIZONE,-1,1:Synthetic Small Molecule,1,Achiral Molecule,CCS(=O)(=O)c1ccc(/C=N/NC(N)=S)cc1,[C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][/C][=N][/N][C][Branch1][C][N][=S][C][=C][Ring1][N]
PRIFINIUM,-1,1:Synthetic Small Molecule,0,Racemic Mixture,CC[N+]1(CC)CCC(=C(c2ccccc2)c2ccccc2)C1C,[C][C][N+1][Branch1][Ring1][C][C][C][C][C][=Branch2][Ring1][Ring2][=C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring2][Ring1][Ring2][C]
CETRAXATE,-1,1:Synthetic Small Molecule,1,Single Stereoisomer,NC[C@H]1CC[C@H](C(=O)Oc2ccc(CCC(=O)O)cc2)CC1,[N][C][C@H1][C][C][C@H1][Branch2][Ring1][#Branch1][C][=Branch1][C][=O][O][C][=C][C][=C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=C][Ring1][O][C][C][Ring2][Ring1][Ring2]
PIRQUINOZOL,-1,1:Synthetic Small Molecule,1,Achiral Molecule,O=c1[nH]c2ccccc2c2cc(CO)nn12,[O][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][Branch1][Ring1][C][O][=N][N][Ring1][#C][Ring1][#Branch1]
IDROPRANOLOL,-1,1:Synthetic Small Molecule,1,Racemic Mixture,CC(C)NCC(O)COc1cccc2c1C=CCC2,[C][C][Branch1][C][C][N][C][C][Branch1][C][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=C][C][C][Ring1][=Branch1]
